"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Civilian employed population 16 years and over","158,913,204","±149,849","158,913,204","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","2,605,614","±18,362","1.6%","±0.1"
"        Construction","10,927,582","±56,256","6.9%","±0.1"
"        Manufacturing","15,876,915","±43,534","10.0%","±0.1"
"        Wholesale trade","3,816,197","±18,959","2.4%","±0.1"
"        Retail trade","17,463,378","±38,930","11.0%","±0.1"
"        Transportation and warehousing, and utilities","9,190,548","±28,904","5.8%","±0.1"
"        Information","3,016,820","±18,174","1.9%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","10,582,227","±39,311","6.7%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","19,285,652","±46,565","12.1%","±0.1"
"        Educational services, and health care and social assistance","36,948,956","±126,099","23.3%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","14,244,205","±50,878","9.0%","±0.1"
"        Other services, except public administration","7,509,732","±26,853","4.7%","±0.1"
"        Public administration","7,445,378","±43,430","4.7%","±0.1"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","158,913,204","±149,849","158,913,204","(X)"
"        Private wage and salary workers","126,577,390","±64,606","79.7%","±0.1"
"        Government workers","22,577,657","±137,847","14.2%","±0.1"
"        Self-employed in own not incorporated business workers","9,447,742","±29,868","5.9%","±0.1"
"        Unpaid family workers","310,415","±5,114","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","125,736,353","±198,714","125,736,353","(X)"
"        Less than $10,000","6,192,080","±22,306","4.9%","±0.1"
"        $10,000 to $14,999","4,743,710","±20,611","3.8%","±0.1"
"        $15,000 to $24,999","8,823,088","±26,114","7.0%","±0.1"
"        $25,000 to $34,999","9,309,426","±28,100","7.4%","±0.1"
"        $35,000 to $49,999","13,463,922","±28,784","10.7%","±0.1"
"        $50,000 to $74,999","20,228,418","±37,019","16.1%","±0.1"
"        $75,000 to $99,999","16,085,302","±41,834","12.8%","±0.1"
"        $100,000 to $149,999","21,466,924","±74,906","17.1%","±0.1"
"        $150,000 to $199,999","11,075,396","±50,946","8.8%","±0.1"
"        $200,000 or more","14,348,087","±70,248","11.4%","±0.1"
"        Median household income (dollars)","75,149","±152","(X)","(X)"
"        Mean household income (dollars)","105,833","±190","(X)","(X)"
"        With earnings","97,603,973","±146,592","77.6%","±0.1"
"            Mean earnings (dollars)","107,743","±188","(X)","(X)"
"        With Social Security","39,273,890","±90,317","31.2%","±0.1"
"            Mean Social Security income (dollars)","22,683","±21","(X)","(X)"
"        With retirement income","29,084,404","±148,715","23.1%","±0.1"
"            Mean retirement income (dollars)","32,050","±78","(X)","(X)"
"        With Supplemental Security Income","6,457,476","±21,868","5.1%","±0.1"
"            Mean Supplemental Security Income (dollars)","11,137","±22","(X)","(X)"
"        With cash public assistance income","3,339,152","±21,555","2.7%","±0.1"
"            Mean cash public assistance income (dollars)","4,243","±25","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","14,486,880","±41,015","11.5%","±0.1"
"    Families","81,432,908","±181,818","81,432,908","(X)"
"        Less than $10,000","2,503,187","±15,445","3.1%","±0.1"
"        $10,000 to $14,999","1,498,443","±11,511","1.8%","±0.1"
"        $15,000 to $24,999","3,629,112","±20,832","4.5%","±0.1"
"        $25,000 to $34,999","4,622,978","±23,380","5.7%","±0.1"
"        $35,000 to $49,999","7,606,045","±25,374","9.3%","±0.1"
"        $50,000 to $74,999","12,688,136","±27,794","15.6%","±0.1"
"        $75,000 to $99,999","11,250,047","±40,786","13.8%","±0.1"
"        $100,000 to $149,999","16,487,331","±76,025","20.2%","±0.1"
"        $150,000 to $199,999","9,059,762","±54,406","11.1%","±0.1"
"        $200,000 or more","12,087,867","±73,681","14.8%","±0.1"
"        Median family income (dollars)","92,646","±260","(X)","(X)"
"        Mean family income (dollars)","124,530","±282","(X)","(X)"
"    Per capita income (dollars)","41,261","±112","(X)","(X)"
"    Nonfamily households","44,303,445","±43,386","44,303,445","(X)"
"        Median nonfamily income (dollars)","45,134","±61","(X)","(X)"
"        Mean nonfamily income (dollars)","66,419","±110","(X)","(X)"
"    Median earnings for workers (dollars)","42,131","±70","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","62,824","±181","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","51,123","±106","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","326,147,510","±8,368","326,147,510","(X)"
"        With health insurance coverage","297,832,418","±241,303","91.3%","±0.1"
"            With private health insurance","220,467,865","±622,614","67.6%","±0.2"
"            With public coverage","116,976,142","±280,044","35.9%","±0.1"
"        No health insurance coverage","28,315,092","±243,494","8.7%","±0.1"
"    Civilian noninstitutionalized population under 19 years","77,777,378","±15,214","77,777,378","(X)"
"        No health insurance coverage","4,155,345","±36,772","5.3%","±0.1"
"    Civilian noninstitutionalized population 19 to 64 years","195,017,714","±18,424","195,017,714","(X)"
"        In labor force:","153,237,902","±117,480","153,237,902","(X)"
"            Employed:","145,376,688","±138,663","145,376,688","(X)"
"                With health insurance coverage","129,855,001","±268,632","89.3%","±0.1"
"                    With private health insurance","118,018,368","±312,349","81.2%","±0.1"
"                    With public coverage","15,973,716","±37,641","11.0%","±0.1"
"                No health insurance coverage","15,521,687","±140,679","10.7%","±0.1"
"            Unemployed:","7,861,214","±32,781","7,861,214","(X)"
"                With health insurance coverage","5,833,794","±21,093","74.2%","±0.2"
"                    With private health insurance","3,310,379","±15,789","42.1%","±0.2"
"                    With public coverage","2,789,844","±15,732","35.5%","±0.1"
"                No health insurance coverage","2,027,420","±20,927","25.8%","±0.2"
"        Not in labor force:","41,779,812","±119,128","41,779,812","(X)"
"            With health insurance coverage","35,600,801","±69,796","85.2%","±0.1"
"                With private health insurance","21,302,522","±50,524","51.0%","±0.2"
"                With public coverage","17,200,799","±95,415","41.2%","±0.1"
"            No health insurance coverage","6,179,011","±58,504","14.8%","±0.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","8.8%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","13.6%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","12.8%","±0.1"
"        Married couple families","(X)","(X)","4.5%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","5.9%","±0.1"
"                With related children of the householder under 5 years only","(X)","(X)","4.6%","±0.1"
"        Families with female householder, no spouse present","(X)","(X)","24.1%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","33.1%","±0.2"
"                With related children of the householder under 5 years only","(X)","(X)","37.2%","±0.4"
"    All people","(X)","(X)","12.5%","±0.1"
"        Under 18 years","(X)","(X)","16.7%","±0.2"
"            Related children of the householder under 18 years","(X)","(X)","16.3%","±0.2"
"                Related children of the householder under 5 years","(X)","(X)","18.1%","±0.2"
"                Related children of the householder 5 to 17 years","(X)","(X)","15.7%","±0.2"
"        18 years and over","(X)","(X)","11.4%","±0.1"
"            18 to 64 years","(X)","(X)","11.7%","±0.1"
"            65 years and over","(X)","(X)","10.0%","±0.1"
"        People in families","(X)","(X)","9.7%","±0.1"
"        Unrelated individuals 15 years and over","(X)","(X)","24.0%","±0.1"
