"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","120,756,048","±236,892","120,756,048","(X)"
"        Less than $10,000","7,302,871","±18,046","6.0%","±0.1"
"        $10,000 to $14,999","5,189,583","±15,224","4.3%","±0.1"
"        $15,000 to $24,999","10,760,144","±24,492","8.9%","±0.1"
"        $25,000 to $34,999","10,792,134","±22,721","8.9%","±0.1"
"        $35,000 to $49,999","14,822,045","±27,053","12.3%","±0.1"
"        $50,000 to $74,999","20,789,890","±43,285","17.2%","±0.1"
"        $75,000 to $99,999","15,374,617","±51,444","12.7%","±0.1"
"        $100,000 to $149,999","18,286,811","±84,253","15.1%","±0.1"
"        $150,000 to $199,999","8,173,563","±49,077","6.8%","±0.1"
"        $200,000 or more","9,264,390","±54,033","7.7%","±0.1"
"        Median household income (dollars)","62,843","±135","(X)","(X)"
"        Mean household income (dollars)","88,607","±188","(X)","(X)"
"        With earnings","93,762,883","±205,231","77.6%","±0.1"
"            Mean earnings (dollars)","90,514","±185","(X)","(X)"
"        With Social Security","37,664,988","±84,849","31.2%","±0.1"
"            Mean Social Security income (dollars)","19,792","±16","(X)","(X)"
"        With retirement income","23,985,063","±115,584","19.9%","±0.1"
"            Mean retirement income (dollars)","27,793","±55","(X)","(X)"
"        With Supplemental Security Income","6,443,122","±15,576","5.3%","±0.1"
"            Mean Supplemental Security Income (dollars)","10,073","±17","(X)","(X)"
"        With cash public assistance income","2,853,791","±17,041","2.4%","±0.1"
"            Mean cash public assistance income (dollars)","3,163","±18","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","14,171,567","±38,056","11.7%","±0.1"
"    Families","79,114,031","±224,065","79,114,031","(X)"
"        Less than $10,000","2,905,334","±14,694","3.7%","±0.1"
"        $10,000 to $14,999","1,835,765","±11,627","2.3%","±0.1"
"        $15,000 to $24,999","4,904,304","±21,555","6.2%","±0.1"
"        $25,000 to $34,999","5,896,133","±19,525","7.5%","±0.1"
"        $35,000 to $49,999","8,950,976","±20,087","11.3%","±0.1"
"        $50,000 to $74,999","13,867,897","±37,542","17.5%","±0.1"
"        $75,000 to $99,999","11,374,396","±51,493","14.4%","±0.1"
"        $100,000 to $149,999","14,620,038","±89,149","18.5%","±0.1"
"        $150,000 to $199,999","6,852,461","±49,919","8.7%","±0.1"
"        $200,000 or more","7,906,727","±54,904","10.0%","±0.1"
"        Median family income (dollars)","77,263","±226","(X)","(X)"
"        Mean family income (dollars)","103,863","±264","(X)","(X)"
"    Per capita income (dollars)","34,103","±104","(X)","(X)"
"    Nonfamily households","41,642,017","±39,582","41,642,017","(X)"
"        Median nonfamily income (dollars)","37,561","±53","(X)","(X)"
"        Mean nonfamily income (dollars)","55,657","±76","(X)","(X)"
"    Median earnings for workers (dollars)","35,117","±73","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","53,275","±124","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","43,022","±107","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","319,706,872","±9,514","319,706,872","(X)"
"        With health insurance coverage","291,458,259","±262,105","91.2%","±0.1"
"            With private health insurance","217,186,300","±672,646","67.9%","±0.2"
"            With public coverage","112,236,495","±297,470","35.1%","±0.1"
"        No health insurance coverage","28,248,613","±269,140","8.8%","±0.1"
"    Civilian noninstitutionalized population under 19 years","77,712,965","±15,074","77,712,965","(X)"
"        No health insurance coverage","3,945,906","±36,454","5.1%","±0.1"
"    Civilian noninstitutionalized population 19 to 64 years","192,505,034","±14,982","192,505,034","(X)"
"        In labor force:","150,297,752","±125,393","150,297,752","(X)"
"            Employed:","142,656,675","±141,137","142,656,675","(X)"
"                With health insurance coverage","126,982,830","±292,393","89.0%","±0.1"
"                    With private health insurance","115,811,268","±340,447","81.2%","±0.2"
"                    With public coverage","14,784,745","±37,307","10.4%","±0.1"
"                No health insurance coverage","15,673,845","±159,620","11.0%","±0.1"
"            Unemployed:","7,641,077","±26,540","7,641,077","(X)"
"                With health insurance coverage","5,531,335","±17,703","72.4%","±0.2"
"                    With private health insurance","3,086,730","±18,140","40.4%","±0.3"
"                    With public coverage","2,680,303","±13,941","35.1%","±0.1"
"                No health insurance coverage","2,109,742","±22,897","27.6%","±0.2"
"        Not in labor force:","42,207,282","±126,771","42,207,282","(X)"
"            With health insurance coverage","36,080,633","±75,353","85.5%","±0.1"
"                With private health insurance","21,859,934","±54,355","51.8%","±0.3"
"                With public coverage","17,201,766","±103,940","40.8%","±0.1"
"            No health insurance coverage","6,126,649","±59,077","14.5%","±0.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","9.5%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","15.1%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","14.4%","±0.1"
"        Married couple families","(X)","(X)","4.8%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","6.6%","±0.1"
"                With related children of the householder under 5 years only","(X)","(X)","5.1%","±0.1"
"        Families with female householder, no spouse present","(X)","(X)","26.5%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","36.1%","±0.2"
"                With related children of the householder under 5 years only","(X)","(X)","40.5%","±0.3"
"    All people","(X)","(X)","13.4%","±0.1"
"        Under 18 years","(X)","(X)","18.5%","±0.2"
"            Related children of the householder under 18 years","(X)","(X)","18.2%","±0.2"
"                Related children of the householder under 5 years","(X)","(X)","20.3%","±0.2"
"                Related children of the householder 5 to 17 years","(X)","(X)","17.4%","±0.2"
"        18 years and over","(X)","(X)","11.9%","±0.1"
"            18 to 64 years","(X)","(X)","12.6%","±0.1"
"            65 years and over","(X)","(X)","9.3%","±0.1"
"        People in families","(X)","(X)","10.7%","±0.1"
"        Unrelated individuals 15 years and over","(X)","(X)","24.9%","±0.1"
