"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Other services, except public administration","7,514,289","±24,855","4.7%","±0.1"
"        Public administration","7,516,950","±46,287","4.7%","±0.1"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","159,808,535","±154,654","159,808,535","(X)"
"        Private wage and salary workers","126,876,228","±72,513","79.4%","±0.1"
"        Government workers","23,091,773","±147,782","14.4%","±0.1"
"        Self-employed in own not incorporated business workers","9,525,915","±34,276","6.0%","±0.1"
"        Unpaid family workers","314,619","±4,695","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","127,482,865","±208,633","127,482,865","(X)"
"        Less than $10,000","6,214,601","±26,414","4.9%","±0.1"
"        $10,000 to $14,999","4,531,954","±20,357","3.6%","±0.1"
"        $15,000 to $24,999","8,370,687","±25,223","6.6%","±0.1"
"        $25,000 to $34,999","8,726,561","±23,313","6.8%","±0.1"
"        $35,000 to $49,999","13,308,310","±35,328","10.4%","±0.1"
"        $50,000 to $74,999","20,077,013","±38,517","15.7%","±0.1"
"        $75,000 to $99,999","16,202,717","±39,481","12.7%","±0.1"
"        $100,000 to $149,999","22,198,277","±77,858","17.4%","±0.1"
"        $150,000 to $199,999","11,843,136","±53,030","9.3%","±0.1"
"        $200,000 or more","16,009,609","±81,051","12.6%","±0.1"
"        Median household income (dollars)","78,538","±176","(X)","(X)"
"        Mean household income (dollars)","110,491","±204","(X)","(X)"
"        With earnings","98,943,813","±153,251","77.6%","±0.1"
"            Mean earnings (dollars)","112,516","±214","(X)","(X)"
"        With Social Security","39,740,709","±92,480","31.2%","±0.1"
"            Mean Social Security income (dollars)","23,582","±22","(X)","(X)"
"        With retirement income","30,868,869","±170,189","24.2%","±0.1"
"            Mean retirement income (dollars)","32,951","±78","(X)","(X)"
"        With Supplemental Security Income","6,475,002","±19,649","5.1%","±0.1"
"            Mean Supplemental Security Income (dollars)","11,361","±24","(X)","(X)"
"        With cash public assistance income","3,403,586","±20,208","2.7%","±0.1"
"            Mean cash public assistance income (dollars)","4,420","±25","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","15,004,950","±42,141","11.8%","±0.1"
"    Families","82,220,165","±187,163","82,220,165","(X)"
"        Less than $10,000","2,504,204","±14,324","3.0%","±0.1"
"        $10,000 to $14,999","1,418,082","±11,451","1.7%","±0.1"
"        $15,000 to $24,999","3,359,932","±17,778","4.1%","±0.1"
"        $25,000 to $34,999","4,222,133","±22,581","5.1%","±0.1"
"        $35,000 to $49,999","7,339,926","±28,897","8.9%","±0.1"
"        $50,000 to $74,999","12,359,185","±31,221","15.0%","±0.1"
"        $75,000 to $99,999","11,134,627","±36,672","13.5%","±0.1"
"        $100,000 to $149,999","16,851,563","±77,461","20.5%","±0.1"
"        $150,000 to $199,999","9,596,062","±55,752","11.7%","±0.1"
"        $200,000 or more","13,434,451","±85,107","16.3%","±0.1"
"        Median family income (dollars)","96,922","±264","(X)","(X)"
"        Mean family income (dollars)","130,215","±309","(X)","(X)"
"    Per capita income (dollars)","43,289","±119","(X)","(X)"
"    Nonfamily households","45,262,700","±49,397","45,262,700","(X)"
"        Median nonfamily income (dollars)","47,232","±63","(X)","(X)"
"        Mean nonfamily income (dollars)","69,346","±108","(X)","(X)"
"    Median earnings for workers (dollars)","44,587","±102","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","65,664","±177","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","53,445","±115","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","327,425,278","±8,784","327,425,278","(X)"
"        With health insurance coverage","299,424,402","±245,709","91.4%","±0.1"
"            With private health insurance","220,441,862","±644,232","67.3%","±0.2"
"            With public coverage","118,877,986","±295,503","36.3%","±0.1"
"        No health insurance coverage","28,000,876","±247,089","8.6%","±0.1"
"    Civilian noninstitutionalized population under 19 years","78,047,798","±14,131","78,047,798","(X)"
"        No health insurance coverage","4,208,983","±35,613","5.4%","±0.1"
"    Civilian noninstitutionalized population 19 to 64 years","194,798,031","±16,525","194,798,031","(X)"
"        In labor force:","153,544,252","±115,615","153,544,252","(X)"
"            Employed:","145,842,157","±139,336","145,842,157","(X)"
"                With health insurance coverage","130,534,699","±275,205","89.5%","±0.1"
"                    With private health insurance","118,259,161","±325,657","81.1%","±0.2"
"                    With public coverage","16,603,863","±46,580","11.4%","±0.1"
"                No health insurance coverage","15,307,458","±143,366","10.5%","±0.1"
"            Unemployed:","7,702,095","±35,339","7,702,095","(X)"
"                With health insurance coverage","5,755,034","±22,277","74.7%","±0.2"
"                    With private health insurance","3,252,673","±13,966","42.2%","±0.2"
"                    With public coverage","2,766,201","±17,458","35.9%","±0.2"
"                No health insurance coverage","1,947,061","±22,365","25.3%","±0.2"
"        Not in labor force:","41,253,779","±116,035","41,253,779","(X)"
"            With health insurance coverage","35,169,581","±67,576","85.3%","±0.1"
"                With private health insurance","20,917,464","±53,148","50.7%","±0.2"
"                With public coverage","17,115,455","±95,134","41.5%","±0.1"
"            No health insurance coverage","6,084,198","±58,336","14.7%","±0.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","8.7%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","13.5%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","12.4%","±0.1"
"        Married couple families","(X)","(X)","4.5%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","5.8%","±0.1"
"                With related children of the householder under 5 years only","(X)","(X)","4.4%","±0.1"
"        Families with female householder, no spouse present","(X)","(X)","23.7%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","32.6%","±0.2"
"                With related children of the householder under 5 years only","(X)","(X)","36.8%","±0.4"
"    All people","(X)","(X)","12.4%","±0.1"
"        Under 18 years","(X)","(X)","16.3%","±0.2"
"            Related children of the householder under 18 years","(X)","(X)","16.0%","±0.2"
"                Related children of the householder under 5 years","(X)","(X)","17.6%","±0.2"
"                Related children of the householder 5 to 17 years","(X)","(X)","15.5%","±0.2"
"        18 years and over","(X)","(X)","11.3%","±0.1"
"            18 to 64 years","(X)","(X)","11.6%","±0.1"
"            65 years and over","(X)","(X)","10.4%","±0.1"
"        People in families","(X)","(X)","9.6%","±0.1"
"        Unrelated individuals 15 years and over","(X)","(X)","23.9%","±0.1"
