"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Median family income (dollars)","73,965","±215","(X)","(X)"
"        Mean family income (dollars)","99,436","±234","(X)","(X)"
"    Per capita income (dollars)","32,621","±93","(X)","(X)"
"    Nonfamily households","41,033,025","±37,161","41,033,025","(X)"
"        Median nonfamily income (dollars)","35,971","±46","(X)","(X)"
"        Mean nonfamily income (dollars)","53,388","±80","(X)","(X)"
"    Median earnings for workers (dollars)","33,439","±93","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","52,318","±126","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","41,690","±70","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","317,941,631","±10,348","317,941,631","(X)"
"        With health insurance coverage","288,188,864","±266,071","90.6%","±0.1"
"            With private health insurance","215,327,263","±645,977","67.7%","±0.2"
"            With public coverage","110,186,951","±272,367","34.7%","±0.1"
"        No health insurance coverage","29,752,767","±273,932","9.4%","±0.1"
"    Civilian noninstitutionalized population under 19 years","77,830,940","±14,445","77,830,940","(X)"
"        No health insurance coverage","4,062,804","±34,601","5.2%","±0.1"
"    Civilian noninstitutionalized population 19 to 64 years","192,169,660","±13,550","192,169,660","(X)"
"        In labor force:","149,472,346","±121,797","149,472,346","(X)"
"            Employed:","141,100,169","±137,712","141,100,169","(X)"
"                With health insurance coverage","124,771,496","±292,148","88.4%","±0.1"
"                    With private health insurance","114,202,119","±328,567","80.9%","±0.2"
"                    With public coverage","14,054,270","±33,574","10.0%","±0.1"
"                No health insurance coverage","16,328,673","±162,201","11.6%","±0.1"
"            Unemployed:","8,372,177","±26,188","8,372,177","(X)"
"                With health insurance coverage","5,883,684","±17,479","70.3%","±0.2"
"                    With private health insurance","3,320,814","±17,999","39.7%","±0.3"
"                    With public coverage","2,809,685","±13,231","33.6%","±0.1"
"                No health insurance coverage","2,488,493","±24,266","29.7%","±0.2"
"        Not in labor force:","42,697,314","±124,720","42,697,314","(X)"
"            With health insurance coverage","36,217,838","±72,329","84.8%","±0.1"
"                With private health insurance","22,094,947","±54,906","51.7%","±0.2"
"                With public coverage","17,127,038","±101,771","40.1%","±0.1"
"            No health insurance coverage","6,479,476","±61,255","15.2%","±0.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","10.1%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","15.9%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","15.3%","±0.2"
"    Married couple families","(X)","(X)","5.0%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","7.1%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","5.5%","±0.1"
"    Families with female householder, no husband present","(X)","(X)","27.8%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","37.5%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","42.2%","±0.3"
"    All people","(X)","(X)","14.1%","±0.1"
"    Under 18 years","(X)","(X)","19.5%","±0.2"
"        Related children of the householder under 18 years","(X)","(X)","19.2%","±0.2"
"            Related children of the householder under 5 years","(X)","(X)","21.5%","±0.2"
"            Related children of the householder 5 to 17 years","(X)","(X)","18.3%","±0.2"
"    18 years and over","(X)","(X)","12.4%","±0.1"
"    18 to 64 years","(X)","(X)","13.2%","±0.1"
"    65 years and over","(X)","(X)","9.3%","±0.1"
"    People in families","(X)","(X)","11.3%","±0.1"
"    Unrelated individuals 15 years and over","(X)","(X)","25.6%","±0.1"
